_id,Facility ID,Location ID,Facility Type (Display Name),Permit,FacilityType,Facility Rating,Asset Name
2691,48490,354,Multipurpose Room,room,Room - C,C,THISTLETOWN MULTI-SERVICE CENTRE - Multipurpose Room - Village Green
2692,49103,354,Auditorium,gym,Auditorium,None,THISTLETOWN MULTI-SERVICE CENTRE - Auditorium
2693,43567,355,Outdoor Rink,ice,Outdoor Ice Pad,None,RIVERCREST RINK - Outdoor Ice Pad
2694,10485,357,Indoor Pool,pool,Indoor Pool Tank - B,B,HUMBER COMMUNITY POOL - Indoor Pool Tank
2695,48298,357,Multipurpose Room,room,Room - C,C,HUMBER COMMUNITY POOL - Multipurpose Room
2696,2509,359,Drinking Fountain,None,Drinking Fountain Count,None,ALBERT CROSLAND PARK - Drinking Water Source
2697,3566,359,Outdoor Basketball Court,None,Basketball Court,None,ALBERT CROSLAND PARK - Basketball Court
2698,4899,359,Wading Pool,None,Wading Pool,None,ALBERT CROSLAND PARK - Wading Pool
2699,33944,359,Playground,None,Playground Site,None,ALBERT CROSLAND PARK - Playground NW
2700,42648,359,Playground,None,Playground Site,None,ALBERT CROSLAND PARK - Playground SE
2701,2481,361,Drinking Fountain,None,Drinking Fountain Count,None,BARTLETT PARKETTE - Drinking Water Source
2702,3530,361,Ball Hockey Pad,None,Ball Hockey Pad,None,BARTLETT PARKETTE - Ball Hockey
2703,18665,364,Drinking Fountain,None,Drinking Fountain Count,None,BOBBIE ROSENFELD PARK - Drinking Water Source
2704,34378,366,Playground,None,Playground Site,None,CARLAW AVENUE PARKETTE - Playground
2705,2147,367,Drinking Fountain,None,Drinking Fountain Count,None,CHANDOS PARK NORTH - Drinking Water Source
2706,2916,367,Ball Hockey Pad,None,Ball Hockey Pad,None,CHANDOS PARK NORTH - Ball Hockey
2707,1691,368,Conservatory,None,Conservatory,None,CLOUD GARDENS CONSERVATORY
2708,2402,368,Bottle Filling Station,None,Water Bottle Filling Count,None,CLOUD GARDENS - Drinking Water Source
2709,2382,370,Drinking Fountain,None,Drinking Fountain Count,None,CRAIGLEIGH GARDENS - Drinking Water Source
2710,2382,370,Dog Fountain,None,Dog Fountain Count,None,CRAIGLEIGH GARDENS - Drinking Water Source
2711,2825,370,Dogs Off-Leash Area,None,Off Leash Area,None,CRAIGLEIGH GARDENS - Off Leash Area
2712,29350,370,Fieldhouse,None,Fieldhouse,None,CRAIGLEIGH GARDENS - Fieldhouse
2713,34446,373,Playground,None,Playground Site,None,GLENN GOULD PARK - Playground
